####################################################################
#                                                                  #
#	lexicon: all lexemes in biblical Hebrew                    #
#                                                                  #
####################################################################
#ident "@(#)lexicon	1.135 21/08/06"
# The spelling of proper names is that of the RSV
"PWVJPR/"	sp=nmpr:sm=pers:gn=m:vc=P.OWVIJPAR:gl=Potiphar
"PWK/"		sp=subs:gn=m:vc=P.W.K\::gl=mascara
"PWL/"		sp=subs:gn=m:vc=P.OWL:gl=beans
"PWL=/"		sp=nmpr:sm=gens:vc=P.W.L:gl=Libyans
"PWL==/"	sp=nmpr:sm=pers:gn=m:vc=P.W.L:gl=Pul
"PWN["		sp=verb:vc=P.W.N:gl=<uncertain>
"PWNJ/"		sp=adjv:ls=gntl:vc=P.W.NIJ:gl=Puite
"PWNN/"		sp=nmpr:sm=topo:vc=P.W.NON:gl=Punon
"PW<H/"		sp=nmpr:sm=pers:gn=f:vc=P.W.<@H:gl=Puah
"PWY["		sp=verb:vc=P.W.Y:gl=disperse
"PWYJ/"		sp=subs:gn=m:vc=P.W.YAJ:gl=<uncertain>:co=ptcp qal would be better
"PWQ["		sp=verb:vc=P.W.Q:gl=totter
"PWQH/"		sp=subs:vc=P.W.Q@H:gl=staggering
"PWR["		sp=verb:vc=P.W.R:gl=destroy
"PWR/"		sp=subs:gn=m:vc=P.W.R:gl=lot
"PWRH/"		sp=subs:vc=P.W.R@H:gl=trough
"PWRT>/"	sp=nmpr:sm=pers:gn=m:vc=P.OWR@T@>:gl=Poratha
"PWC["		sp=verb:vc=P.W.C:gl=paw the ground
"PWTJ/"		sp=adjv:ls=gntl:vc=P.W.TIJ:gl=Puthite
"PZ/"		sp=subs:gn=m:rt=PZZ:vc=P.AZ:gl=topaz
"PZZ["		sp=verb:vc=P.@ZAZ:gl=be agile
"PZZ=["		sp=verb:vc=P.@ZAZ:gl=set with topaz
"PZR["		sp=verb:vc=P.@ZAR:gl=scatter
"PX/"		sp=subs:rt=PXX:vc=P.AX:gl=plate
"PX=/"		sp=subs:gn=m:rt=PXX:vc=P.AX:gl=bird-trap
"PXD["		sp=verb:fc=2g:vc=P.@XAD:gl=tremble
"PXD/"		sp=subs:gn=m:vc=P.AXAD:gl=trembling
"PXD=/"		sp=subs:vc=P.AXAD:gl=thigh
"PXDH/"		sp=subs:vc=P.AX\:D.@H:gl=<uncertain>
"PXH/"		sp=subs:gn=m:rt=PXH:vc=P.EX@H:gl=governor
"PXZ["		sp=verb:fc=2g:gl=be insolent
"PXZ/"		sp=subs:gn=m:vc=P.AXAZ:gl=<uncertain>
"PXZWT/"	sp=subs:gn=f:vc=P.AX\:AZW.T:gl=boasting
"PXX["		sp=verb:vc=P.@XAX:gl=be trapped
"PXM/"		sp=subs:gn=m:vc=P.EX@M:gl=charcoal
"PXT/"		sp=subs:gn=m:vc=P.AXAT:gl=pit
"PXT_MW>B/"	sp=nmpr:sm=pers:gn=m:vc=P.AXAT_MOW>@B:gl=Pahath-Moab
"PXTT/"		sp=subs:fc=seg:vc=P.\:XETET:gl=boring
"PVDH/"		sp=subs:vc=P.IV\:D.@H:gl=chrysolite
"PVJC/"		sp=subs:fc=ai:gn=m:vc=P.AV.IJC:gl=hammer
"PVR["		sp=verb:vc=P.@VAR:gl=escape
"PVR/"		sp=subs:fc=seg:gn=m:vc=P.EVER:gl=first-born
"PVRH/"		sp=subs:vc=P.IV\:R@H:gl=first-born
"PJ_BST/"	sp=nmpr:sm=topo:vc=P.IJ_BESET:gl=Bubastis
"PJ_HXJRWT/"	sp=nmpr:sm=topo:vc=P.IJ_HAXIJROWT:gl=Pi Hahiroth
"PJD/"		sp=subs:gn=m:vc=P.IJD:gl=decay
"PJH/"		sp=subs:vc=P.IJ.@H:gl=<uncertain>
"PJX/"		sp=subs:gn=m:vc=P.IJXA:gl=soot
"PJKL/"		sp=nmpr:sm=pers:gn=m:vc=P.IJKOL:gl=Phicol
"PJM/"		sp=subs:gn=m:vc=P.IJM:gl=pim:co=unit
"PJMH/"		sp=subs:vc=P.IJM@H:gl=fat
"PJNXS/"	sp=nmpr:sm=pers:gn=m:vc=P.IJN\:X@S:gl=Phinehas
"PJNN/"		sp=nmpr:sm=pers:gn=m:vc=P.IJNON:gl=Pinon
"PJPJWT/"	sp=adjv:vc=P.IJPIJ.OWT:gl=double-edged
"PJCWN/"	sp=nmpr:sm=topo:vc=P.IJCOWN:gl=Pishon
"PJTWN/"	sp=nmpr:sm=pers:gn=m:vc=P.IJTOWN:gl=Pithon
"PK/"		sp=subs:gn=m:vc=P.AK\::gl=flask
"PKH["		sp=verb:vc=P.@K@H:gl=trickle
"PKRT_HYBJJM/"	sp=nmpr:sm=pers:gn=m:rt=PKR:vc=P.OKERET_HAY.\:B@JIJM:gl=Pokereth-Hazzebaim
"PL>["		sp=verb:vc=P.@L@>:gl=be miraculous
"PL>/"		sp=subs:fc=seg:gn=m:vc=P.ELE>:gl=miracle
"PL>J/"		sp=adjv:fc=seg:vc=P.ELI>J:gl=miraculous
"PL>J=/"	sp=adjv:ls=gntl:vc=P.AL.U>IJ:gl=Palluite
"PL>JH/"	sp=nmpr:sm=pers:gn=m:vc=P.\:L@>J@H:gl=Pelaiah
"PLG["		sp=verb:vc=P.@LAG:gl=divide
"PLG/"		sp=subs:fc=seg:gn=m:vc=P.ELEG:gl=division
"PLG=/"		sp=nmpr:sm=pers:gn=m:vc=P.ELEG:gl=Peleg
"PLGH/"		sp=subs:vc=P.\:LAG.@H:gl=division
"PLGH=/"	sp=subs:vc=P.\:LUG.@H:gl=division
"PLGC/"		sp=subs:fc=seg:gn=f:vc=P.ILEGEC:gl=concubine
"PLDC/"		sp=nmpr:sm=pers:gn=m:vc=P.IL\:D.@C:gl=Pildash
"PLDT/"		sp=subs:vc=P.\:L@DOT:gl=<uncertain>
"PLH["		sp=verb:vc=P.@L@H:gl=be special
"PLW>/"		sp=nmpr:sm=pers:gn=m:vc=P.AL.W.>:gl=Pallu
"PLX["		sp=verb:vc=P.@LAX:gl=cleave
"PLX/"		sp=subs:fc=seg:gn=f:vc=P.ELAX:gl=slice
"PLX>/"		sp=nmpr:sm=pers:gn=m:vc=P.IL\:X@>:gl=Pilha
"PLV["		sp=verb:vc=P.@LAV:gl=escape
"PLV/"		sp=nmpr:sm=pers:gn=m:vc=P.ELEV:gl=Pelet
"PLVJ/"		sp=adjv:ls=gntl:vc=P.AL\:VIJ:gl=Paltite
"PLVJ=/"	sp=nmpr:sm=pers:gn=m:vc=P.AL\:VIJ:gl=Palti
"PLVJ==/"	sp=nmpr:sm=pers:gn=m:vc=P.IL\:V@J:gl=Piltai
"PLVJ>L/"	sp=nmpr:sm=pers:gn=m:vc=P.AL\:VIJ>;L:gl=Paltiel
"PLVJH/"	sp=nmpr:sm=pers:gn=m:vc=P.\:LAV\:J@H:gl=Pelatiah
"PLVJHW/"	sp=nmpr:sm=pers:gn=m:vc=P.\:LAV\:J@HW.:gl=Pelatiah
"PLJH/"		sp=nmpr:sm=pers:gn=m:vc=P.\:L@J@H:gl=Pelaiah
"PLJV/"		sp=subs:gn=m:rt=PLV:vc=P.@LIJV:gl=escaped one
"PLJV=/"	sp=subs:fc=ae:vc=P.@L;JV:gl=escaped one
"PLJVH/"	sp=subs:vc=P.\:L;JV@H:gl=escape
"PLJL/"		sp=subs:rt=PLL:vc=P.@LIJL:gl=judge
"PLJLH/"	sp=subs:vc=P.\:LIJL@H:gl=decision
"PLJLJ/"	sp=adjv:rt=PLL:vc=P.\:LIJLIJ:gl=calling for judgment
"PLJLJH/"	sp=subs:vc=P.\:LIJLIJ.@H:gl=decision
"PLK/"		sp=subs:fc=seg:gn=m:vc=P.ELEK\::gl=whirl of spindle
"PLK=/"		sp=subs:fc=seg:gn=m:vc=P.ELEK\::gl=district
"PLL["		sp=verb:vc=P.@LAL:gl=pray
"PLL/"		sp=nmpr:sm=pers:gn=m:vc=P.@L@L:gl=Palal
"PLL=["		sp=verb:vc=P.@LAL:gl=arbitrate
"PLLJH/"	sp=nmpr:sm=pers:gn=m:vc=P.\:LAL\:J@H:gl=Pelaliah
"PLMNJ/"	sp=subs:gn=m:vc=P.AL\:MONIJ:gl=a certain
"PLNJ/"		sp=subs:gn=m:vc=P.\:LONIJ:gl=a certain
"PLS["		sp=verb:vc=P.@LAS:gl=level
"PLS/"		sp=subs:fc=seg:gn=m:vc=P.ELES:gl=indicator
"PLS=["		sp=verb:vc=P.@LAS:gl=watch
"PLY["		sp=verb:vc=P.@LAY:gl=shudder
"PLYWT/"	sp=subs:gn=f:rt=PLY:vc=P.AL.@YW.T:gl=shuddering
"PLC["		sp=verb:vc=P.@LAC:gl=roll
"PLCT/"		sp=nmpr:sm=topo:vc=P.\:LECET:gl=Philistia
"PLCTJ/"	sp=adjv:ls=gntl:vc=P.\:LIC\:T.IJ:gl=Philistine
"PLT/"		sp=nmpr:sm=pers:gn=m:vc=P.ELET:gl=Peleth
"PLTJ/"		sp=adjv:ls=gntl:vc=P.\:L;TIJ:gl=Pelethite
"PN"		sp=conj:vc=P.EN:gl=lest
"PNG/"		sp=subs:gn=m:vc=P.AN.AG:gl=<uncertain>
"PNH["		sp=verb:vc=P.@N@H:gl=turn
"PNH/"		sp=subs:rt=PNH:vc=P.@NEH:gl=face
"PNH=/"		sp=subs:gn=f:rt=PNN:vc=P.IN.@H:gl=corner
"PNW>L/"	sp=nmpr:sm=topo:vc=P.\:NW.>;L:gl=<locality>
"PNW>L=/"	sp=nmpr:sm=pers:gn=m:vc=P.\:NW.>;L:gl=Penuel
"PNJ>L/"	sp=nmpr:sm=topo:vc=P.\:NIJ>;L:gl=Peniel
"PNJMH"		sp=advb:vc=P.\:NIJM@H:gl=within
"PNJMJ/"	sp=adjv:vc=P.\:NIJMIJ:gl=inner
"PNJNJM/"	sp=subs:vc=P.\:NIJNIJM:gl=corals
"PNNH/"		sp=nmpr:sm=pers:gn=f:vc=P.\:NIN.@H:gl=Peninnah
"PNQ["		sp=verb:gl=pamper
"PS/"		sp=subs:rt=PSS:vc=P.AS:gl=sole?
"PSG["		sp=verb:vc=P.@SAG:gl=pass between?
"PSGH/"		sp=nmpr:sm=topo:vc=P.IS\:G.@H:gl=Pisgah
"PSH/"		sp=subs:vc=P.IS.@H:gl=<uncertain>
"PSX["		sp=verb:fc=3g:vc=P.@SAX:gl=be lame
"PSX/"		sp=subs:fc=seg:gn=m:vc=P.ESAX:gl=Passover
"PSX=/"		sp=adjv:fc=ie:vc=P.IS.;XA:gl=lame
"PSX==/"	sp=nmpr:sm=pers:gn=m:vc=P.@S;XA:gl=Paseah
"PSJL/"		sp=subs:rt=PSL:vc=P.@SIJL:gl=idol
"PSK/"		sp=nmpr:sm=pers:gn=m:vc=P.@SAK\::gl=Pasach
"PSL["		sp=verb:vc=P.@SAL:gl=cut
"PSL/"		sp=subs:fc=seg:gn=m:vc=P.ESEL:gl=idol
"PSS["		sp=verb:vc=P.@SAS:gl=<uncertain>
"PSPH/"		sp=nmpr:sm=pers:gn=m:vc=P.IS\:P.@H:gl=Pispah
"P<H["		sp=verb:vc=P.@<@H:gl=groan
"P<W/"		sp=nmpr:sm=topo:vc=P.@<W.:gl=Pau
"P<WR/"		sp=nmpr:sm=topo:vc=P.\:<OWR:gl=Peor
"P<J/"		sp=nmpr:sm=topo:vc=P.@<IJ:gl=Pai:st=a
"P<L["		sp=verb:fc=2g:vc=P.@<AL:gl=make
"P<L/"		sp=subs:gn=m:rt=P<L:vc=P.O<AL:gl=doing
"P<LH/"		sp=subs:rt=P<L:vc=P.\:<UL.@H:gl=work
"P<LTJ/"	sp=nmpr:sm=pers:gn=m:vc=P.\:<UL.\:TAJ:gl=Peullethai
"P<M["		sp=verb:fc=2g:gl=move
"P<M/"		sp=subs:gn=f:vc=P.A<AM:gl=foot
"P<MWN/"	sp=subs:gn=m:vc=P.A<\:AMOWN:gl=bell
"P<R["		sp=verb:fc=2g:gl=open
"P<RJ/"		sp=nmpr:sm=pers:gn=m:vc=P.A<\:ARAJ:gl=Paarai
"PYH["		sp=verb:vc=P.@Y@H:gl=open
"PYX["		sp=verb:fc=3g:gl=be serene
"PYX=["		sp=verb:fc=3g:gl=scatter
"PYJRH/"	sp=subs:vc=P.\:YIJR@H:gl=sharpening
"PYL["		sp=verb:gl=peel
"PYLH/"		sp=subs:vc=P.\:Y@L@H:gl=peeled stripe
"PYM["		sp=verb:gl=split
"PY<["		sp=verb:fc=3g:gl=squeeze
"PY</"		sp=subs:fc=seg:gn=m:vc=P.EYA<:gl=bruise
"PYY["		sp=verb:vc=P.@YAY:gl=shatter
"PYR["		sp=verb:vc=P.@YAR:gl=entreat
"PQ/"		sp=subs:gn=m:rt=PWQ:vc=P.IQ:gl=tottering
"PQD["		sp=verb:vc=P.@QAD:gl=miss
"PQDH/"		sp=subs:vc=P.\:QUD.@H:gl=commission
"PQDWN/"	sp=subs:gn=m:rt=PQD:vc=P.IQ.@DOWN:gl=deposit
"PQDT/"		sp=subs:gn=f:rt=PQD:vc=P.\:QIDUT:gl=oversight
"PQWD/"		sp=nmpr:sm=topo:vc=P.\:QOWD:gl=Pekod
"PQWDJM/"	sp=subs:vc=P.IQ.W.DIJM:gl=orders
"PQX["		sp=verb:fc=3g:vc=P.@QAX:gl=open
"PQX/"		sp=adjv:fc=ie:vc=P.IQ.;XA:gl=clear-sighted
"PQX=/"		sp=nmpr:sm=pers:gn=m:vc=P.EQAX:gl=Pekah
"PQX_QWX/"	sp=subs:gn=m:vc=P.\:QAX_QOWXA:gl=opening
"PQXJH/"	sp=nmpr:sm=pers:gn=m:vc=P.\:QAX\:J@H:gl=Pekahiah
"PQJD/"		sp=subs:gn=m:rt=PQD:vc=P.@QIJD:gl=officer
"PQ<JM/"	sp=subs:vc=P.\:Q@<IJM:gl=gourd-ornament
"PQ<T/"		sp=subs:vc=P.AQ.U<OT:gl=gourd
"PR/"		sp=subs:gn=m:rt=PRR:vc=P.AR:gl=young bull
"PR>["		sp=verb:vc=P.@R@>:gl=be fertile
"PR>/"		sp=subs:fc=seg:gn=m:vc=P.ERE>:gl=zebra
"PR>M/"		sp=nmpr:sm=pers:gn=m:vc=P.IR\:>@M:gl=Piram
"PRBR/"		sp=subs:gn=m:vc=P.AR\:B.@R:gl=court
"PRD["		sp=verb:vc=P.@RAD:gl=divide
"PRD/"		sp=subs:fc=seg:gn=m:vc=P.ERED:gl=mule
"PRDH/"		sp=subs:vc=P.IR\:D.@H:gl=she-mule
"PRDWT/"	sp=subs:vc=P.\:RUDOWT:gl=dried figs
"PRDS/"		sp=subs:gn=m:vc=P.AR\:D.;S:gl=park
"PRH["		sp=verb:vc=P.@R@H:gl=be fertile
"PRH/"		sp=subs:vc=P.@R@H:gl=cow
"PRH=/"		sp=nmpr:sm=topo:vc=P.@R@H:gl=Parah
"PRH==/"	sp=nmpr:sm=pers:gn=m:vc=P.UR@H:gl=Purah
"PRWD>/"	sp=nmpr:sm=pers:gn=m:vc=P.\:RW.D@>:gl=Peruda
"PRWX/"		sp=nmpr:sm=pers:gn=m:vc=P.@RW.XA:gl=Paruah
"PRWJM/"	sp=nmpr:sm=topo:vc=P.AR\:W@JIM:gl=Parvaim
"PRWR/"		sp=subs:gn=m:vc=P.@RW.R:gl=cooking pot
"PRWT/"		sp=subs:gn=f:vc=P.;ROWT:gl=<uncertain>
"PRZ/"		sp=subs:vc=P.@R@Z:gl=<uncertain>
"PRZH/"		sp=subs:vc=P.\:R@Z@H:gl=village
"PRZWN/"	sp=subs:gn=m:vc=P.\:R@ZOWN:gl=countrymen
"PRZJ/"		sp=adjv:ls=gntl:vc=P.\:RIZ.IJ:gl=Perizzite
"PRZJ=/"	sp=subs:gn=m:vc=P.\:R@ZIJ:gl=open country
"PRX["		sp=verb:vc=P.@RAX:gl=sprout
"PRX/"		sp=subs:gn=m:rt=PRX:vc=P.ERAX:gl=bud
"PRX=["		sp=verb:vc=P.@RAX:gl=fly?
"PRXX/"		sp=subs:gn=m:vc=P.IR\:XAX:gl=<uncertain>
"PRV["		sp=verb:gl=improvise
"PRV/"		sp=subs:fc=seg:gn=m:vc=P.EREV:gl=berries
"PRJ/"		sp=subs:fc=seg:gn=m:vc=P.\:RIJ:gl=fruit
"PRJD>/"	sp=nmpr:sm=pers:gn=m:vc=P.\:RIJD@>:gl=Perida
"PRJY/"		sp=subs:gn=m:rt=PRY:vc=P.@RIJY:gl=robber
"PRJY=/"	sp=subs:gn=m:rt=PRY:vc=P.@RIJY:gl=burglar
"PRK/"		sp=subs:fc=seg:gn=m:vc=P.EREK\::gl=act of violence
"PRKT/"		sp=subs:fc=seg:vc=P.@ROKET:gl=curtain
"PRM["		sp=verb:vc=P.@RAM:gl=rent
"PRMCT>/"	sp=nmpr:sm=pers:gn=m:vc=P.AR\:MAC\:T.@>:gl=Parmashta
"PRNK/"		sp=nmpr:sm=pers:gn=m:vc=P.AR\:N@K\::gl=Parnach
"PRS["		sp=verb:vc=P.@RAS:gl=break
"PRS/"		sp=subs:fc=seg:gn=m:vc=P.ERES:gl=vulture
"PRS=/"		sp=nmpr:sm=gens,topo:vc=P.@RAS:gl=Persia
"PRSH/"		sp=subs:gn=f:vc=P.AR\:S@H:gl=hoof
"PRSJ/"		sp=adjv:ls=gntl:vc=P.@R\:SIJ:gl=Persian
"PR<["		sp=verb:fc=3g:vc=P.@RA<:gl=let loose
"PR</"		sp=subs:fc=seg:gn=m:vc=P.ERA<:gl=loose hair
"PR<H/"		sp=subs:gn=m:vc=P.AR\:<OH:gl=pharaoh
"PR<C/"		sp=subs:gn=m:vc=P.AR\:<OC:gl=flea
"PR<C=/"	sp=nmpr:sm=pers:gn=m:vc=P.AR\:<OC:gl=Parosh
"PR<TWN/"	sp=nmpr:sm=topo:vc=P.IR\:<@TOWN:gl=Pirathon
"PR<TWNJ/"	sp=adjv:ls=gntl:vc=P.IR\:<@TOWNIJ:gl=Pirathonite
"PRPR/"		sp=nmpr:sm=topo:vc=P.AR\:P.AR:gl=Pharpar
"PRY["		sp=verb:vc=P.@RAY:gl=break
"PRY/"		sp=subs:fc=seg:gn=m:vc=P.EREY:gl=breach
"PRY=/"		sp=nmpr:sm=pers:gn=m:vc=P.EREY:gl=Perez
"PRY_<ZH/"	sp=nmpr:sm=topo:vc=P.EREY_<UZ.@H:gl=Perez Uzzah
"PRYJ/"		sp=adjv:ls=gntl:vc=P.AR\:YIJ:gl=Perezite
"PRYJM/"	sp=nmpr:sm=topo:vc=P.\:R@YIJM:gl=Perazim
"PRQ["		sp=verb:vc=P.@RAQ:gl=tear away
"PRQ/"		sp=subs:fc=seg:gn=m:vc=P.EREQ:gl=plunder
"PRR["		sp=verb:vc=P.@RAR:gl=break
"PRR=["		sp=verb:vc=P.@RAR:gl=stir
"PRF["		sp=verb:vc=P.@RAF:gl=spread out
"PRFZ/"		sp=subs:vc=P.AR\:F;Z:gl=<uncertain>
"PRC["		sp=verb:vc=P.@RAC:gl=explain
"PRC/"		sp=subs:gn=m:vc=P.@R@C:gl=horseman
"PRC=/"		sp=subs:fc=seg:gn=m:vc=P.EREC:gl=contents of stomach
"PRC==/"	sp=nmpr:sm=pers:gn=m:vc=P.EREC:gl=Peresh
"PRCGN/"	sp=subs:fc=seg:gn=m:vc=P.AR\:CEGEN:gl=copy
"PRCDN/"	sp=subs:gn=m:vc=P.AR\:C\:DON:gl=hole
"PRCH/"		sp=subs:vc=P.@R@C@H:gl=statement
"PRCNDT>/"	sp=nmpr:sm=pers:gn=m:vc=P.AR\:CAN\:D.@T@>:gl=Parshandatha
"PRT/"		sp=nmpr:sm=topo:vc=P.\:R@T:gl=Euphrates
"PRT=/"		sp=subs:rt=PRH:vc=P.OR@T:gl=tamarisk?
"PRTMJM/"	sp=subs:vc=P.AR\:T.\:MIJM:gl=nobles
"PFH["		sp=verb:vc=P.@F@H:gl=spread
"PF<["		sp=verb:fc=3g:gl=step
"PF</"		sp=subs:fc=seg:gn=m:vc=P.EFA<:gl=step
"PFQ["		sp=verb:gl=open
"PC/"		sp=subs:gn=m:rt=PCC:vc=P.AC:gl=<uncertain>
"PCX["		sp=verb:fc=3g:gl=lie fallow
"PCXWR/"	sp=nmpr:sm=pers:gn=m:vc=P.AC\:XW.R:gl=Pashhur
"PCV["		sp=verb:vc=P.@CAV:gl=strip off
"PC<["		sp=verb:fc=3g:vc=P.@CA<:gl=rebel
"PC</"		sp=subs:fc=seg:gn=m:vc=P.ECA<:gl=rebellion
"PCR/"		sp=subs:fc=seg:gn=m:vc=P.;CER:gl=interpretation
"PCT/"		sp=subs:fc=seg:gn=m:vc=P.;CET:gl=flax
"PCTH/"		sp=subs:vc=P.IC\:T.@H:gl=flax
"PT/"		sp=subs:gn=f:rt=PTT:vc=P.AT:gl=bit
"PT=/"		sp=subs:gn=f:vc=P.OT:gl=forehead
"PT>M"		sp=advb:rt=PTH?:vc=P.IT\:>OM:gl=suddenly
"PTBG/"		sp=subs:gn=m:vc=P.AT\:B.AG:gl=table
"PTGM/"		sp=subs:gn=m:vc=P.IT\:G@M:gl=decision
"PTH["		sp=verb:vc=P.@T@H:gl=seduce
"PTH=["		sp=verb:vc=P.@T@H:gl=be spacious
"PTW>L/"	sp=nmpr:sm=pers:gn=m:vc=P.\:TW.>;L:gl=Pethuel
"PTWX/"		sp=subs:fc=iu:gn=m:vc=P.IT.W.XA:gl=engraving
"PTWR/"		sp=nmpr:sm=topo:vc=P.\:TOWR:gl=Pethor
"PTWT/"		sp=subs:gn=m:vc=P.\:TOWT:gl=fragment
"PTX["		sp=verb:fc=3g:vc=P.@TAX:gl=open
"PTX/"		sp=subs:gn=m:rt=PTX:vc=P.ETAX:gl=opening
"PTX=["		sp=verb:fc=3g:gl=engrave
"PTX=/"		sp=subs:fc=seg:gn=m:vc=P.;TAX:gl=disclosure
"PTXWN/"	sp=subs:gn=m:rt=PTX:vc=P.IT.@XOWN:gl=inducement
"PTXJH/"	sp=nmpr:sm=pers:gn=m:vc=P.\:TAX\:J@H:gl=Pethahiah
"PTJ/"		sp=subs:fc=seg:gn=m:vc=P.ETIJ:gl=young man
"PTJ=/"		sp=subs:fc=seg:gn=m:vc=P.ETIJ:gl=simplicity
"PTJGJL/"	sp=subs:gn=m:vc=P.\:TIJGIJL:gl=garment
"PTJWT/"	sp=subs:gn=f:vc=P.\:TAJ.W.T:gl=<uncertain>
"PTJXH/"	sp=subs:vc=P.\:TIJX@H:gl=dagger
"PTJL/"		sp=subs:gn=m:rt=PTL:vc=P.@TIJL:gl=cord
"PTL["		sp=verb:gl=twist
"PTLTL/"	sp=adjv:vc=P.\:TAL\:T.OL:gl=queer
"PTM/"		sp=nmpr:sm=topo:vc=P.ITOM:gl=Pithom
"PTN/"		sp=subs:fc=seg:gn=m:vc=P.ETEN:gl=cobra
"PT</"		sp=subs:ls=padv:gn=m:rt=PT<:vc=P.ETA<:gl=instant
"PTR["		sp=verb:vc=P.@TAR:gl=interpret
"PTRWN/"	sp=subs:gn=m:rt=PTR:vc=P.IT.@ROWN:gl=interpretation
"PTRWS/"	sp=nmpr:sm=topo:vc=P.AT\:ROWS:gl=Upper Egypt
"PTRSJM/"	sp=nmpr:sm=gens:vc=P.AT\:RUSIJM:gl=Pathrusites
"PTCGN/"	sp=subs:fc=seg:gn=m:vc=P.AT\:CEGEN:gl=copy
"PTT["		sp=verb:vc=P.@TAT:gl=crumble
"Y>/"		sp=subs:rt=YW>:vc=Y;>:gl=dirt
"Y>H/"		sp=subs:rt=YW>:vc=Y;>@H:gl=excrement
"Y>H=/"		sp=subs:rt=YW>:vc=YO>@H:gl=vomit
"Y>J/"		sp=adjv:rt=YW>:vc=YO>IJ:gl=filthy
"Y>LJM/"	sp=subs:vc=YE>\:ELIJM:gl=lotus
"Y>N/"		sp=subs:vc=YO>N:gl=cattle
"Y>NN/"		sp=nmpr:sm=topo:vc=YA>\:AN@N:gl=Zaanan
"Y>Y>JM/"	sp=subs:rt=JY>:vc=YE>\:EY@>IJM:gl=offspring
"YB/"		sp=subs:gn=m:rt=YBB:vc=Y@B:gl=lizard
"YB=/"		sp=subs:gn=m:rt=YBB:vc=Y@B:gl=wagon
"YB>["		sp=verb:vc=Y@B@>:gl=serve
"YB>/"		sp=subs:gn=m:vc=Y@B@>:gl=service
"YB>=/"		sp=subs:vc=Y@B@>:gl=gazelle
"YB>H/"		sp=subs:vc=Y\:B@>@H:gl=she-gazelle
"YB>JM/"	sp=nmpr:sm=topo:vc=Y\:BO>JIM:gl=Zeboiim
"YBH["		sp=verb:vc=Y@B@H:gl=swell
"YBH/"		sp=adjv:rt=YBH:vc=Y@BEH:gl=swollen
"YBH=/"		sp=subs:vc=YOBEH:gl=<uncertain>
"YBW</"		sp=subs:fc=ptcp:gn=m:vc=Y@BW.<A:gl=hyena
"YBV["		sp=verb:gl=hold out
"YBJ/"		sp=subs:fc=seg:gn=m:vc=Y\:BIJ:gl=beauty
"YBJ=/"		sp=subs:fc=seg:gn=m:vc=Y\:BIJ:gl=gazelle
"YBJ>/"		sp=nmpr:sm=pers:gn=m:vc=YIB\:J@>:gl=Zibia
"YBJH/"		sp=subs:vc=Y\:BIJ.@H:gl=she-gazelle
"YBJH=/"	sp=nmpr:sm=pers:gn=f:vc=YIB\:J@H:gl=Zibiah
"YB</"		sp=subs:fc=seg:gn=m:vc=YEBA<:gl=stuff
"YB<WN/"	sp=nmpr:sm=pers:gn=m:vc=YIB\:<OWN:gl=Zibeon
"YB<JM/"	sp=nmpr:sm=topo:vc=Y\:BO<IJM:gl=Zeboim
"YBR["		sp=verb:vc=Y@BAR:gl=heap
"YBR/"		sp=subs:fc=iu:vc=YIB.UR:gl=heap
"YBT/"		sp=subs:fc=seg:vc=YEBET:gl=bundle
"YD/"		sp=subs:gn=m:rt=YDD:vc=YAD:gl=side
"YD=/"		sp=subs:rt=YDD:vc=YAD:gl=snare
"YDD/"		sp=nmpr:sm=topo:vc=Y\:D@D:gl=Zedad
"YDH["		sp=verb:vc=Y@D@H:gl=be after
"YDH=["		sp=verb:vc=Y@D@H:gl=waste
"YDWQ/"		sp=nmpr:sm=pers:gn=m:vc=Y@DOWQ:gl=Zadok
"YDJH/"		sp=subs:vc=Y\:DIJ.@H:gl=malicious intent
"YDJM/"		sp=nmpr:sm=topo:vc=YID.IJM:gl=Ziddim
"YDJQ/"		sp=adjv:rt=YDQ:vc=YAD.IJQ:gl=just
"YDQ["		sp=verb:vc=Y@D;Q:gl=be just
"YDQ/"		sp=subs:fc=seg:gn=m:vc=YEDEQ:gl=justice
"YDQH/"		sp=subs:vc=Y\:D@Q@H:gl=justice
"YDQJH/"	sp=nmpr:sm=pers:gn=m:vc=YID\:QIJ.@H:gl=Zedekiah
"YDQJHW/"	sp=nmpr:sm=pers:gn=m:vc=YID\:QIJ.@HW.:gl=Zedekiah
"YHB["		sp=verb:vc=Y@HAB:gl=gleam
"YHB/"		sp=adjv:rt=YHB:vc=Y@HOB:gl=gleaming
"YHL["		sp=verb:vc=Y@HAL:gl=cry
"YHL=["		sp=verb:vc=Y@HAL:gl=shine
"YHR["		sp=verb:gl=press out
"YHR/"		sp=subs:gn=f:vc=YOHAR:gl=roof
"YHRJM/"	sp=subs:gn=m:vc=Y@H\:@RAJIM:gl=noon
"YW/"		sp=subs:rt=YWH:vc=YAW:gl=<untranslatable>
"YW>R/"		sp=subs:gn=m:vc=YAW.@>R:gl=neck
"YWB>/"		sp=nmpr:sm=topo:vc=YOWB@>:gl=Zobah
"YWD["		sp=verb:fc=2wj:vc=YW.D:gl=hunt
"YWH["		sp=verb:vc=Y@W@H:gl=command
"YWX["		sp=verb:vc=YW.X:gl=cry
"YWXH/"		sp=subs:vc=Y\:W@X@H:gl=cry
"YWLH/"		sp=subs:vc=YW.L@H:gl=deep
